model,topic_id,top_words
LDA_best,0,dagang as tingkat industri 2022 capai ekonomi pt kuat akhir produk cnbc
LDA_best,1,pajak transaksi harta beras kaya bea jabat surat cukai hasil bea cukai tindak
LDA_best,2,atur putus hukum surat jabat lama nyata atas rusia minta nomor pimpin
LDA_best,3,buat kamu salah jawab ikut rupa tahu sehat main makan diri tak
LDA_best,4,rumah warga pukul kota wib kabupaten polisi barat aman camat 00 desa
LDA_best,5,bangun program direktur daerah tingkat kembang harap pt dukung bantu giat bidang
LDA_best,6,layan tol 000 pertamina tambah siap juta bayar kapal mulai ribu sedia
LDA_best,7,hukum bukti pihak perkara adil tindak jaksa sidik sidang tangkap terima dakwa
LDA_best,8,ketua dpr umum politik koalisi ketua umum tolak israel kalau dunia pak ri
LDA_best,9,ramadhan bulan buka islam al agama ibadah milu masjid ramadan perindo umat
